Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
110272901276573,עדי שטרנברג - Adi Shterenberg,עדי שטרנברג - Adi Shterenberg,577,3
1376946122530211,ניסן בן חמו - Nisan Ben Hamo,ניסן בן חמו - Nisan Ben Hamo,576,12
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,575,6
115256976973278,Nikk.Agency Новости Израиля - Привет Израиль Что нового? Какие Новости?,אלכסנדר לוצנקו,570,12
181934751862929,Unik Public Image,Unik,566,2
537993479619524,אבי אלקבץ עפולה אחת,אבי אלקבץ,563,10
192242644687256,גל לנצ'נר חבר המועצה בגבעת שמואל,Gal Lenchner,557,5
119840381061499,אוהד שגב,אוהד שגב,550,2
2194295440852649,טוב במושבה,טוב במושבה,545,3
519587265446919,יוראי להב הרצנו - Yorai Lahav Hertzanu,Yorai Lahav Hertzanu,545,2
107796574338168,אמיר ברוט,אמיר ברוט,543,2
180925969210520,نداء الخير  UAE,These ads ran without a disclaimer,542,5
162972883752327,התנועה לחופש המידע,התנועה לחופש המידע,539,7
110927093853286,رئيس مجلس عبلين المحلي : مأمون الشيخ,Mohammed Sh Ahmad,537,8
2241550506131359,שמואל בוקסר,שמואל בוקסר,529,3
591727857554934,פוליטיקלי קוראת,פוליטיקלי קוראת,522,2
111604720373428,הפורום הישראלי למשפט וחירות,הפורום הישראלי למשפט וחירות,520,6
103085619445870,ניר ברכיה משרד עורכי דין,Michael Michel Levi,520,1
110974955253816,קמפיינר - ניהול מערכות בחירות מתקדמות וחכמות,אלירן נימרוד סבח,517,1
259585924100042,Regavim,Regavim,515,5
471173436243263,جمعية حقوق المواطن في اسرائيل,جمعية حقوق المواطن في اسرائيل,510,4
103452286018350,עמיר אלנברג לראשות המועצה האזורית לכיש,עמיר אלנברג,509,5
120219177648236,רוח חדשה ברמלה - בראשות רותם כהן כחלון,רוח חדשה ברמלה - בראשות רותם כהן כחלון,508,1
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,504,3
104451956273575,נאמני תורה ועבודה,נאמני תורה ועבודה,500,2
104507095974550,שלמה ששון מנסורה לראשות מועצת מעלה יוסף,שלמה ששון מנסורה,500,1
189064091982224,המכון הישראלי לתכנון כלכלי,המכון הישראלי לתכנון כלכלי,500,1
105073575118245,מצילים את הצין,מצילים את הצין,499,5
107698738576280,Sowtna,Unik,496,1
1519152775038032,מיינט הקיבוץ,These ads ran without a disclaimer,486,1
656983778056147,למענכם,למענכם מפליא לעשות Lemaanchem,485,5
1900748410047113,סיגל שאלתיאל הלוי לראשות מועצת מעלה יוסף,Sigal Shaltiel Halevi,483,3
2133211886933768,Наш дом Нетания,בוריס צירולניק,482,4
214159139131382,יובב גוניקמן לראשות יהוד מונוסון,יובב גוניקמן לראשות יהוד מונוסון,482,2
150886438431012,"גילה פרין עו""ד מקרקעין, חוזים, צוואות-ירושות",Yifat Hazan,480,3
104009239346213,د. هلال خوري مرشح لرئاسة مجلس كفرياسيف المحلي,Ameer Bathesh,479,3
117581211636979,קול רבני לזכויות אדם,שומרי משפט - רבנים למען זכויות אדם,473,2
341448679281672,יריב לוין - Yariv Levin,yariv levin - יריב לוין,469,3
1838534943110252,שלמה שש  גן רווה,שלמה שש  גן רווה,468,1
110813690707400,Nimrod Yaron & Co. - נמרוד ירון ושות' - מיסוי ישראלי ובינלאומי,Yifat Hazan,465,2
100406666225034,5050 שותפות ושוויון מגדרי,5050 שותפות ושוויון מגדרי,464,12
108433902545902,Geneva Initiative,יוזמת ז'נבה,464,4
1710352505687844,משה ליבר - Moshe Liber,משה ליבר,461,8
390174201363786,Eli Nacht • אלי נכט,אלי נכט,456,6
517540671748006,"Движение ""Единство"" во главе с Дмитрием Бруком",Dmitry Bruk,451,14
255984187851688,מועצה אזורית יואב,מועצה אזורית יואב,450,3
546024288762312,"ד""ר יחיאל לסרי",עיריית אשדוד,449,6
114183292001372,Gisha LCFM,Gisha - Legal Center for Freedom of Movement,447,8
224562257709477,דניאל (דני) עטר,Daniel Atar,446,3
331531237208747,מועצה אזורית גוש עציון,מועצה אזורית גוש עציון,444,1
190922747595423,הנשיא 1 - העמוד הרשמי,These ads ran without a disclaimer,439,2
171948013605622,יצחק מירון תנופה לעפולה,Tnufaleafula,439,6
102918202773886,לעזור זה כיף,Idan Levi,437,2
112791015410812,Danny Danon - דני דנון,דני דנון,434,1
116877711723730,ממרי,ממרי,431,6
390531014386170,Шимон Кацнельсон - Единый Ашдод,Шимон Кацнельсон - Единый Ашдод,428,6
110917020553426,Ari Shavit - ארי שביט,These ads ran without a disclaimer,415,1
106623748802753,פורום 360,These ads ran without a disclaimer,411,34
108946632156321,"Respect the past, create the future",These ads ran without a disclaimer,407,1
102848419380682,Itamar Giladi,Yarden Hoter,406,18
2027886563888573,סיון גולדברג - סגן ראש עיריית גבעתיים,סיון גולדברג - סגן ראש עיריית גבעתיים,400,1
645460249284616,דינמיקלאס - DynamiClass,DynamiClass,400,1
325131448440639,מפלגת נעם,מפלגת נעם,400,8
389976174446991,"יקותיאל ושות' משרד עורכי דין מומחים בהתחדשות עירונית, פינוי בינוי ותמ""א 38",Yifat Hazan,400,2
1137441646281466,Nir Meir - ניר מאיר,התנועה הקיבוצית,399,4
347519992380551,אביעד סיני לראשות מועצת פרדס חנה כרכור,אביעד סיני,398,4
221885774492166,לשכת המסחר,לשכת המסחר,396,4
174138752627879,עצומה,עצומה,396,2
129648596702372,גלית אורי - מנהיגה חדשה לגליל העליון.,Galit Ori,390,2
599453993544831,نساء ضد العنف  Women Against Violence,Women Against Violence,389,12
362811203779336,ספרייה ומרכז הנצחה בקריית טבעון,ספרייה ומרכז הנצחה בקריית טבעון,382,6
2203643443204096,יהודה בן יוסף-Yehuda Ben Yosef,Haim Dilaroza,381,5
248788905529463,Детали / новости Израиля,Детали / новости Израиля,380,5
105903455474742,המרכז ליהדות ומדינה  - Judaism and state policy center  - JSPC,המרכז ליהדות ומדינה  - Judaism and state policy center  - JSPC,380,5
1614948598762298,Bardugo LIVE אולפן פתוח,Bardugo LIVE אולפן פתוח,378,3
107114480630055,"ד""ר מוטי גלוסקה - מחקרי ביטחון ואסטרטגיה",מוטי גלוסקה - מחקרי ביטחון ואסטרטגיה,377,3
107944488939695,דורשים מהנהגת המדינה להגיע להסכמה רחבה,Matan Gilad,370,1
108787681841168,רישיון נשק בקליק,Michael Michel Levi,367,1
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,360,1
121091364291674,חסדים,Michal Tsofi,359,3
198259966913686,"עו""ד ונוטריון מיכה דוד - דיני עבודה, חדלות פרעון, הוצאה לפועל וגישור",These ads ran without a disclaimer,351,2
183490491733488,Yiddishpiel Theater  תיאטרון יידישפיל,תיאטרון יידישפיל,350,4
182916765074767,אדם טבע ודין,אדם טבע ודין,350,2
1563244617330030,מכון גולדה מאיר למנהיגות וחברה - ע״ר,מכון גולדה מאיר למנהיגות וחברה - ע״ר,350,4
1861842864065524,משרד עורכי דין אסף שפירא,These ads ran without a disclaimer,348,1
474051222631952,Think&Drink Different,Think&Drink Different,344,5
129618240428658,כוח לעובדים,כוח לעובדים,344,2
115957321469678,קריאת הסכמה,These ads ran without a disclaimer,342,5
341079186043947,תרים דגל,Yosef Rabin,340,2
216394682076449,צילה רשף מועצת זכרון יעקב,צילה רשף מועצת זכרון יעקב,331,1
112503300669788,Démocratie en Action - une initiative des Démocrates Mobilisés,Blajman Stephan,330,5
103391555431767,Eyal Zur,Yael Hecht Zur,330,1
1457440094475905,Stav Shaffir סתיו שפיר,Stav Shaffir סתיו שפיר,325,3
106285879037393,אודי דניאלי לראשות מועצת באר טוביה,Yogev Triki,320,4
114501578583315,סינמטק תל אביב,Cinematheque Tel Aviv,312,1
110666185245278,יעלה - מעלים את מגידו על המסלול,יעלה לוי,310,3
202745703099228,اكاديمية القاسمي,These ads ran without a disclaimer,306,1
112002200622077,הנגב ממריא מנבטים - Time4Nevatim,הנגב ממריא מנבטים - Time4Nevatim,304,1
105882494651944,יניב חנו - Yaniv Chano,יניב חנו,303,1
313816005938472,תנופה לעפולה - שומרים על הבית,תנופה לעפולה - שומרים על הבית,301,3
167657276622943,אראל מרגלית - Erel Margalit,אראל מרגלית - Erel Margalit,300,1
248660961864475,שחרית | سحرية | Shaharit,שחרית | سحرية | Shaharit,300,2
106810614434281,Dror Ben Ami - דרור בן עמי,Dror Ben-Ami,300,1
114884923663318,"מקו""ם - מועצת הקבוצות והקהילות המשימתיות בישראל","מקו""ם - מועצת הקבוצות והקהילות המשימתיות בישראל",300,2
119373658139954,Friedrich-Ebert-Stiftung Israel,Friedrich Ebert Stiftung Israel,300,1
433529446712013,Ayman Odeh - أيمن عودة,Ayman Odeh - أيمن عودة,300,1
108449188226947,עילם הבית של המוסיקאים,עילם,300,3
296689240391934,- הדין הצרפתי - ירושות בצרפת - אזרחות צרפתית - דרכון צרפתי,Yifat Hazan,300,2
319459201991688,קדם - האיגוד לקידום קהילות דיור למבוגרים בישראל,א.ב.א - אגוד בתי האבות,300,3
335399036546914,ישראל כ״ץ - Israel Katz,Felicia Fygel Mualem,300,3
281651925267113,ארגון סגל ההוראה והמחקר באוניברסיטת תל אביב,ארגון סגל ההוראה והמחקר באוניברסיטת תל אביב,300,5
1804437023107196,לשכת שמאי מקרקעין בישראל - הדף הרשמי,לשכת שמאי המקרקעין,299,4
105310775864044,ועידת אצבע הגליל,Moshe Kakon,298,6
136803203078703,להב - לשכת ארגוני העצמאים והעסקים בישראל,Amit Winder,297,2
529447160443258,ארגון הקבלנים והבונים,Tal Sanderoni,293,5
261635271159245,Hadad Roth Shenhar & Co Law,These ads ran without a disclaimer,291,1
100373119114004,Netzer Cohen,נצר כהן,291,5
213430839923,תמי4 שטראוס מים,These ads ran without a disclaimer,291,4
101258102966811,מדינת ישראל 2.0,These ads ran without a disclaimer,288,1
186031828219409,NM Digital Strategy,NM-DIGITAL,286,2
104012555994314,התנדבות למען ניצולי שואה,Yair Fefer,281,3
52999780846,סינמטק ירושלים - The Jerusalem Cinematheque,Jerusalem Cinematheque,279,1
1244297295663794,שלמה נאמן,מועצה אזורית גוש עציון,274,2
107476928307805,אשדודי - יש לנו חדשות בשבילך,אשדודי - יש לנו חדשות בשבילך,271,2
101499376186375,עפרי רביב,עפרי רביב,271,5
547899102308980,יסמין סאקס פרידמן - Yasmin Sacks Fridman,יסמין סקס פרידמן,270,1
112651058423133,צוואה בפני נוטריון,These ads ran without a disclaimer,265,2
126099790738165,אנימלס,אנימלס,263,1
106455438982920,Back Legal,These ads ran without a disclaimer,261,13
153028785566305,Parents Against Child Detention הורים נגד מעצרי ילדים,Parents Against Child Detention הורים נגד מעצרי ילדים,254,3
826817340696745,city face - סיטי פייס,סיטי פייס,254,2
678348175524845,"עו""ד טל אליהו - יחד למען חדרה",These ads ran without a disclaimer,252,2
357588951030489,בית לאמנות ישראלית,These ads ran without a disclaimer,251,2
472693929419351,עיריית כפר יונה,עיריית כפר יונה,250,1
100570949591846,שניר פרידמן - לראשות מועצה אזורית הגלבוע,These ads ran without a disclaimer,250,1
2203643443204096,יהודה בן יוסף-Yehuda Ben Yosef,יהודה בן יוסף-Yehuda Ben Yosef,249,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,246,4
666263786873603,Kerem Navot - Naboth’s Vineyard,Kerem Navot - Naboth’s Vineyard,245,7
119051427795659,אלעד כהן לראשות מועצת אורנית,Hezi Gur Mizrahi,244,3
101330218715710,מספיק,Maspik!,243,4
704953553224965,Вопросы гражданства и статуса в Израиле. Адвокат Александр Френкель,These ads ran without a disclaimer,240,1
399925850154841,מרכז ישיבות ואולפנות בני עקיבא,מרכז ישיבות ואולפנות בני עקיבא,240,6
987747511404365,PrePay,These ads ran without a disclaimer,238,4
164934630690102,החברה לפיתוח הגליל,"פיתוח הגליל- מג""ע",237,2
337959742979295,מוטי פרנקו - Moti Franko,מוטי פרנקו - Moti Franko,237,1
140133916157913,תיקון - להתחדשות החברה והתרבות בישראל,תנועת תיקון,236,4
206692749419285,עיריית ראשון לציון,These ads ran without a disclaimer,236,1
102876582053465,"עו""ד צביקה וישנגרד - חבר מועצת העיר פתח תקווה","עו""ד צביקה וישנגרד",233,1
100733149476202,אפנאן חליפה משרד עורכי דין أفنان خليفة مكتب محاماة,These ads ran without a disclaimer,231,1
140600726014862,גישה - מרכז לשמירה על הזכות לנוע,Gisha - Legal Center for Freedom of Movement,224,4
102360231459321,Rare Store,These ads ran without a disclaimer,224,3
132157380175824,"ח""כ חמד עמאר",חמד עמאר,224,3
411177009409267,ענת זנזורי,ענת זנזורי,224,2
100594139647824,Kulakova Isolda,These ads ran without a disclaimer,218,1
105744449044010,Алон Азулай,Алон Азулай,216,3
775262769219310,עודד פורר - Oded Forer,עודד פורר - Oded Forer,210,1
309475453164510,أم الفحم للجميع,Ahmad Jabareen,210,2
1023211607703525,ההסתדרות במרחב אשקלון,Sharon Atiya,209,2
139922199493073,גבעת חביבה چڤعات حبيبة,גבעת חביבה چڤعات حبيبة,209,3
103438503043348,העוקץ,העוקץ,208,2
1374763189510186,עיריית נתניה,These ads ran without a disclaimer,205,1
575042382839057,Nissim Vaturi - ניסים ואטורי,ניסּים ואטורי,202,1
276758039144070,דודי לוין חבר מועצת באר יעקב,These ads ran without a disclaimer,202,4
433942603478314,אהרון ליבוביץ - Aaron Leibowitz,אהרון ליבוביץ - Aaron Leibowitz,200,1
364011324091365,חדשות הגבעה,חדשות הגבעה,200,1
454113211616883,מועצה מקומית בית אל - Beit El Municipality,מועצה מקומית בית אל,200,1
548894211951595,פורום חברות הקדישא,Unik,200,2
114869678131807,משמר החינוך הממלכתי,משמר החינוך,200,8
102986449448742,"לשכה מקצועית בראשות עו""ד אבי ללום",These ads ran without a disclaimer,200,2
107941170992337,שדה חמד - מערך דיור בקהילה,שדה חמד,199,1
641514279247588,עיריית שדרות,עיריית שדרות,198,2
1389240321317188,דוד אבן צור - ראש עיריית קריית ים,דוד אבן צור - ראש עיריית קריית ים,197,3
445245105501112,מהות - הרשות העירונית לחוסן וביטחון קהילתי אשדוד,מהות - הרשות העירונית לחוסן וביטחון קהילתי אשדוד,196,1
108671078468737,عكا تجمعنا,عكا تجمعنا,193,5
219091481560790,מרים פיירברג - איכר,מרים פיירברג - איכר,191,2
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,187,2
334640329998323,בני ביטון,בני ביטון,184,3
179266922268816,שלמה מליחי - Shlomo Malihi,שלמה מליחי,175,2
104562329032572,"Ашкелон, прежде всего","Ашкелон, прежде всего",174,2
105198612541203,"רו""ח עזריאל אברהם - מועמד להתמודדות ליו""ר תנועת הליכוד נהריה",Azriel Abraham,169,3
104713545735871,Kamar,These ads ran without a disclaimer,166,4
101267426191761,Мирьям Фаерберг-Икар,נתניה אחת,165,2
1805533439759230,אסיף איזק - ראש מועצת חוף הכרמל,These ads ran without a disclaimer,164,4
110052591967356,לירון סבן משרד עורכי דין,Yifat Hazan,159,2
105696862520128,,עדי נאמן,156,2
171506896314198,מיטל להבי - Meital Lehavi,מיטל להבי,153,5
114899208240842,حركة الإصلاح  والتغيير الديمقراطية,These ads ran without a disclaimer,153,3
426332294124829,בית אורי צבי,בית מורשת אורי צבי גרינברג,150,4
518969288114421,תנועת אשדודים,יניב קקון,150,4
402936269773132,עליזה לביא,עליזה משיח לביא,150,1
131348450275908,אלי דוקורסקי - ראש עיריית קריית ביאליק,אלי דוקורסקי - ראש עיריית קריית ביאליק,150,2
276123535874376,משה רווח,משה רווח,150,3
164141753724644,מולד - המרכז להתחדשות הדמוקרטיה - Molad,These ads ran without a disclaimer,150,1
110292677814507,Shahar kiko studio - שחר קיקו סטודיו לעיצוב פנים,These ads ran without a disclaimer,150,1
234062900070007,יעקב קורצקי סגן ראש העיר שלכם ולמענכם,Lee-el Cohen,150,1
153347451379375,Журнал ЛЕХАИМ,Журнал ЛЕХАИМ,150,12
102238896044402,דבי ביטון - Debbie Biton,דבורה ביטון,148,6
137892919675912,עמנואל שחף,Emanuel Shahaf,147,2
109992682018930,Noam Zluf,Noam Zluf,146,4
111500115228845,לביא זמיר לראשות לב השרון,לביא זמיר לראשות לב השרון,144,1
106288685642634,אל תשליכני לעת זקנה,אופירה ארכוני,143,3
176680162354318,בר הצעצוע Toy Bar,These ads ran without a disclaimer,143,3
183536685171889,"עיר הנדל""ן - מרכז הבנייה הישראלי",These ads ran without a disclaimer,142,1
120749044326668,נגה גיל בשיא - העמק בידיים טובות,נגה גיל בשיא,141,1
105377745313828,עורך דין ירון נדם,Yifat Hazan,140,2
101810062705599,Эяль Певзнер - Мехубарим,Эяль Певзнер - Мехубарим,138,7
1733408463408762,הגר פרי- יגור,הגר פרי יגור,138,2
389810911067075,Наш дом Израиль,ישראל ביתנו,137,1
123065247744905,ידיעות ספרים שאוהבים,אבי קראוס,135,2
106159875724149,meitar_mana_butbul,These ads ran without a disclaimer,129,1
101061255238691,Oren Cohen - Prime Real Estate,These ads ran without a disclaimer,127,3
806779316016355,אנו ANU,אנו - עושים שינוי,127,1
125126963820139,רז קינסטליך - רקביחד,רז קינסטליך- בחירות לראשות עיריית ראשל״צ,126,1
159416337497662,Nir Barkat - ניר ברקת,Nir Barkat - ניר ברקת,126,1
109861774703806,MK Simon Davidson - סימון דוידסון,MK Simon Davidson - סימון דוידסון,121,1
1559693127669109,העמותה למען מדע מוסרי,העמותה למען מדע מוסרי,118,1
256384884516069,אביה שטיין קורלנד משרד עורכי דין ונוטריון,These ads ran without a disclaimer,118,1
108820357145208,יצחק וסרלאוף,יצחק וסרלאוף,118,7
147748795257795,אחריי,These ads ran without a disclaimer,118,1
171841086180780,אורית בן יהודה קוסמטיקה מתקדמת,These ads ran without a disclaimer,114,1
497974706955654,ארז כהן ושות' - משרד עורכי דין,These ads ran without a disclaimer,114,2
208947112492576,Hong Kong Science Park,These ads ran without a disclaimer,111,1
2384287768470877,מוזיאון ידידי ישראל,These ads ran without a disclaimer,110,8
310448006908,Ofir Akunis - אופיר אקוניס,Ofir Akunis - אופיר אקוניס,110,1
111744348205226,"Next Level Academy - המרכז להצלחה בנדל""ן",These ads ran without a disclaimer,110,3
262971517924117,מאיר אברז'ל חבר מועצת העיר אשדוד,Meir Abergel,110,2
101529214813499,Mela design,These ads ran without a disclaimer,110,1
551688281583235,יד לוי אשכול - Yad Levi Eshkol,"אסטרטג טכנולוגיות בע""מ",108,1
100869341561907,תוצרת הארץ • הביטחון הלאומי שלנו,תוצרת הארץ • הביטחון הלאומי שלנו,107,3
100897009622001,דרך המים,דרך המים,106,1
110914221890053,סלטי עותמאני-הטעם של הבית,These ads ran without a disclaimer,105,1
313286485135,15 דקות - ארגון צרכני תחבורה ציבורית בישראל,15 דקות - ארגון צרכני תחבורה ציבורית בישראל,103,2
101529666123079,אוהד טל - Ohad Tal,אוהד טל - Ohad Tal,103,1
2399623940274846,יעל תמיר קוסמטיקה מתקדמת P.M.E,These ads ran without a disclaimer,102,1
2210038662656898,איגוד התאגידים העירוניים ברשויות המקומיות,Jonathan Holt,≤100,2
882082768486772,סער גינזבורסקי - Saar Ginzburski,סער גינזבורסקי - Saar Ginzburski,≤100,1
164141753724644,מולד - המרכז להתחדשות הדמוקרטיה - Molad,מולד - המרכז להתחדשות הדמוקרטיה - Molad,≤100,1
114856231507549,הצעירים - משפיעים על העתיד של כולנו ביקנעם,הצעירים - משפיעים על העתיד של כולנו ביקנעם,≤100,2
102525969362239,WazCam أخبار وازكام,wazcam lt.d,≤100,1
531891887148785,הראל שהם - Harel shoham,הראל שהם - Harel shoham,≤100,1
116888951379034,עמוס לוגסי,Amos Lugasi,≤100,1
378985879235977,ערן דורון- Eran Doron,ערן דורון- Eran Doron,≤100,1
1435922513325831,איציק לב לראשות העיר חריש,איציק לב,≤100,1
531875713862476,צבי סוכות,צבי סוכות,≤100,3
561508917249930,Gal Sharabi - גל שרעבי - דמאיו,Gal Sharabi Damayo,≤100,2
119577089896216,קבוצת אלקטרה -  Electra Group,These ads ran without a disclaimer,≤100,3
218826871997115,حركة شباب التغيير - مؤسسة ياسين,حركة شباب التغيير - مؤسسة ياسين,≤100,2
770195983065802,Hélène Mazouz הלן מזוז,Helen Mazouz,≤100,3
289430634536225,جبهة وحدة يافة الناصرة - الصفحة الرسمية,These ads ran without a disclaimer,≤100,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,4
657302797773794,עורכת דין ומגשרת נאוה בן דוד,These ads ran without a disclaimer,≤100,1
311316755621457,יוצאים לשינוי,Out for Change - יוצאים לשינוי,≤100,1
130861139908168,שתמיד נזכה להיות בצד שנותן,These ads ran without a disclaimer,≤100,2
101611749105954,Либерально-Религиозные,Leonid Sliosberg,≤100,1
308725875845458,קורה בכנרת,Eliran Shmuel,≤100,1
103321546070767,Najpiękniejszych małych miasteczek,These ads ran without a disclaimer,≤100,5
112267658446931,פותחים שולחן אצל יוסי,These ads ran without a disclaimer,≤100,1
173987419305088,Funia,These ads ran without a disclaimer,≤100,1
107570621520073,אמיר ווסקו לראשות העיר קריית ים,אמיר ווסקו לראשות העיר קריית ים,≤100,2
1703268633265805,"משרד עו""ד איתי הכהן",Yifat Hazan,≤100,2
109880580419027,טארק ח'ורי - משרד עורכי דין,Yifat Hazan,≤100,2
171197756239359,"עומר יעבץ - צחי ביטון משרד עו""ד צבאי ונכי צה""ל",Yifat Hazan,≤100,2
351542635639595,"משרד עו""ד אביטבול ושות'",Yifat Hazan,≤100,2
102817181542369,"חגי חכם, עורך דין",Yifat Hazan,≤100,2
1729257687336138,עו״ד שרון מאירי - תביעות נגד משרד הביטחון,Yifat Hazan,≤100,2
242732972866081,"שניידרמן, סברדליק ושות' משרד עורכי דין",Yifat Hazan,≤100,2
105827165037026,ענת וילנאי עורכת דין ומגשרת,Yifat Hazan,≤100,2
232752110162953,"שלמה כ""ץ משרד עורכי דין",Yifat Hazan,≤100,2
1776645545693104,"משרד עו""ד אברהם בומה ברחד",Yifat Hazan,≤100,2
104552600367053,"עו""ד רונן טיב - Ronen Tiv, Adv",Yifat Hazan,≤100,2
224467381362768,"רן שקד עו""ד",Yifat Hazan,≤100,2
102485061561175,"שדה סולברג משרד עו""ד",Yifat Hazan,≤100,2
106300734078807,"יוסף משעל עו""ד",Yifat Hazan,≤100,2
1692293270989088,שדה ושות' משרד עורכי דין נוטריון ומגשרים,Yifat Hazan,≤100,2
101221677918255,الأستاذ عمار احمد,These ads ran without a disclaimer,≤100,2
103295979117583,חנוך דב מילביצקי - Hanoch dov Milwidsky,Hanoch Milwidsky,≤100,1
664241100303646,רהיטי טבע,These ads ran without a disclaimer,≤100,30
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
2183550075239120,"שלומי בן ששון - חבר מועצה ר""ג",Shlomi Sasson,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,5
392866501469954,"נטו מוצקין, זה רק - נטו מוצקין",יוסי מרקוביץ,≤100,3
103396036023846,"תנועת ""קול השכונות"" - ""Движение ""Голос районов",Baruch Dror,≤100,1
106586978519694,All•in הבית של הפודקסטים,Allin הבית של הפודקסטים,≤100,1
105046697572815,محمد صبح,محمد صبح,≤100,2
336333819807014,פנינה תמנו שטה Pnina Tamano Shata,פנינה תמנו שטה,≤100,1
103466445634073,שבוע המצוינות הישראלית,These ads ran without a disclaimer,≤100,4
198271533676930,תנועת הפדרציה  حركة الاتحاد,Emanuel Shahaf,≤100,1
113588643412367,זהות - החיפוש אחר עתיד טוב יותר לישראל,Emanuel Shahaf,≤100,1
985091331520408,ניוז חיפה קריות.נט,קבוצת ניוז חיפה קריות.נט,≤100,1
103743529345788,איציק דריקס Itzik Driks,איציק דריקס,≤100,1
164514821050422,בועז שלמה לראשות המועצה האזורית לכיש,בועז שלמה,≤100,1
523342624775985,טעימה מרמלה,טעימה מרמלה,≤100,1
1432282697015880,הסתדרות הפועל המזרחי,These ads ran without a disclaimer,≤100,3
100713679170695,תומר תדהר - מחוברים לנס-ציונה,תומר תדהר,≤100,2
169302856576651,אדיר בנימיני - סגן ראש עיריית נתניה,Adir Benyamini,≤100,4
542570405790244,יהודה מורדי - Yehuda Moradi,מורדי יהודה,≤100,1
539705276112766,פאייר סנטר Firecenter,These ads ran without a disclaimer,≤100,1
1837055639885020,אביטל רבינוביץ' - עורכת דין מגשרת ונוטריונית,פסקדין,≤100,2
271660011645,"אריק שלו ושות', משרד עורכי דין",Yifat Hazan,≤100,2
554884461621517,בעז עמיר משרד עורכי דין,Yifat Hazan,≤100,2
568041039945689,גנוט - גניאל משרד עורכי דין,Yifat Hazan,≤100,2
193214594155897,ג.מ פורטל יבואני ג'נטים וצמיגים,These ads ran without a disclaimer,≤100,5
101189206302646,"עמית אדר - עו""ד הסדרי חובות, פשיטת רגל, חדלות פירעון",These ads ran without a disclaimer,≤100,1
384305041667881,Taub Center for Social Policy Studies in Israel - English site,Taub Center,≤100,1
104492907835152,Academy of Therapy Wisdom,These ads ran without a disclaimer,≤100,4
1985203285097720,התנועה לטוהר המידות,התנועה לטוהר המידות,≤100,4
295306733907878,موقع جار القمر,Suleiman Khaldi,≤100,1
185551421467940,אלה שינפלד - משרד עורכי דין,Yifat Hazan,≤100,3
111250977056323,מאיה רוטנברג משרד עורכי דין,Yifat Hazan,≤100,3
1980769865538429,נדב דואני - Nadav Douani,These ads ran without a disclaimer,≤100,1
116271368100605,Ben Nimrodi,Ben Nimrodi,≤100,4
100136206179450,אריק מוגרמן - Arik Mugerman,Arik Mugerman,≤100,3
161648040544835,יצחק הרצוג - Isaac Herzog,These ads ran without a disclaimer,≤100,1
117013198032170,thejerusalemfoundationusa,These ads ran without a disclaimer,≤100,1
165897830125934,אגף תרבות ואמנויות עיריית ירושלים,These ads ran without a disclaimer,≤100,1
104380581936061,מיכאל כהן לראשות עיריית טירת כרמל,מיכאל כהן לראשות עיריית טירת כרמל,≤100,4
431104047342928,אזרחים למען אוויר נקי,אזרחים למען אוויר נקי,≤100,1
111254753856427,עבד עודה משרד עורכי דין,Yifat Hazan,≤100,1
107182904017177,אמיר קולמן - חבר מועצת העיר כפר סבא,אמיר קולמן,≤100,1
109866420817770,NWS,חדשות NWS,≤100,2
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול,≤100,1
115640308154994,H-M ביזנס סנטר בלב עפולה,These ads ran without a disclaimer,≤100,2
508350882567230,"עו""ד רלי ארביב",Yifat Hazan,≤100,2
1182717255183771,"מיטל שמיע-יוסף, עו""ד",Yifat Hazan,≤100,2
1781739578575358,אלון אלימלך משרד עורכי דין Alon Elimelech Law Office,Yifat Hazan,≤100,2
102365135203513,דורית בן אברהם - משרד עורכי דין וגישור,Yifat Hazan,≤100,2
107161795095283,"שני אדרי, משרד עורכי דין",Yifat Hazan,≤100,2
1090118307755134,יוסי ניזרי- משרד עורכי דין,Yifat Hazan,≤100,2
894177217390024,"ליאור ברקנפלד-משרד עו""ד",Yifat Hazan,≤100,2
131091344093915,"איתן קנול עו""ד",Yifat Hazan,≤100,2
330877314189761,מאור עזרן משרד עורכי דין,Yifat Hazan,≤100,2
1144735395625887,"אבי ששו עו""ד ונוטריון",Yifat Hazan,≤100,2
1736178566694254,"ינון פריד משרד עו""ד ונוטריון",Yifat Hazan,≤100,2
709216422557802,ז'קי לוי,ז'קי לוי,≤100,2
115375288502895,מיתוג מדיה חברתית,mitoog smo,≤100,15
152951074799884,מוזיאון מגדל דוד,These ads ran without a disclaimer,≤100,1
98673036962,ROLDA,These ads ran without a disclaimer,≤100,11
105449285532518,Stingtv הצטרפות,These ads ran without a disclaimer,≤100,1
