Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
214714535294863,Moravänstern - Vänsterpartiet Mora,Jenny Isabelle Louise Larsson,1000,2
103487509736810,Socialdemokraterna i  Gävleborg,Socialdemokraterna i  Gävleborg,1000,1
391144314309664,Moderaterna i Österåker,Moderaterna i Österåker,1000,1
624472544282852,Sverigedemokraterna Tyresö,Henrik Mellström,1000,2
212743882240652,Vänsterpartiet Örnsköldsvik,Vänsterpartiet Örnsköldsvik,1000,6
507299542640142,Liberalerna Sundbyberg,David Nyström,1000,2
579268339149105,Erik Bergkvist,Socialdemokraterna i Europaparlamentet,999,1
200638163333794,ABF Malmö,ABF Malmö,995,3
239177706143268,Mobility Sweden,These ads ran without a disclaimer,993,1
111501558543800,Sörmland Lever,Yuri Jhonatan Huerta Silva,992,2
261455205686,LRF,These ads ran without a disclaimer,987,1
124892400864698,Företagarna,Företagarna,984,2
324502111021396,Täbymoderaterna,Moderata Samlingspartiet i Täby,977,2
92683221988,"Ung Pirat, Piratpartiets ungdomsförbund",These ads ran without a disclaimer,976,2
177985135560560,Ultimaker,These ads ran without a disclaimer,973,2
162466473776556,Klimataktion,Klimataktion,973,7
150339891652630,Rönningepartiet,Anders Klerkefors,970,6
182933185135,Skogsindustrierna,Skogsindustrierna,965,4
101257185831267,Ulf Liljankoski - fritidspolitiker,Ulf Aarne Fredrik Hunter Liljankoski,954,6
107704882177366,Jobba i Mora kommun,These ads ran without a disclaimer,953,1
1978566042454891,Socialistiskt Alternativ Haninge,RS Haninge,950,5
1553944598209170,Vänsterpartiet Alingsås,Vänterpartiet Alingsås,940,4
1177885685706745,Partiet Nyans,Partiet Nyans,939,4
320930784643530,Storasyster,Storasyster,934,1
872493709501005,Svenskt Näringsliv Gävleborg,Svenskt Näringsliv,923,5
262656093762675,Östersunds kommun - Staaren tjïelte,Östersunds kommun,918,2
722853564439941,Gustav Hemming,Centerpartiet Region Stockholm,908,7
108568891864407,Sveriges Skolledare,Sveriges Skolledare,904,1
139047112785592,Centerpartiet Linköping,Felix Grönqvist,900,2
786156274854416,Svenskt Näringsliv Jämtland,Svenskt Näringsliv,900,1
300290481979,Södertälje kommun,Södertälje kommun,900,5
121489607875162,Vänsterpartiet Växjö,Vänsterpartiet Växjö,894,2
540469052705480,Vänsterpartiet Eslöv,Rašović Kasumović Umihana,883,7
646930495447969,Nordax Bank Sverige,These ads ran without a disclaimer,881,1
161935043870264,Sverigedemokraterna Eskilstuna,Bertil Mikael Nygren,867,4
449577235139576,Socialdemokraterna i Ljungby kommun,Anders Tommy Linnér,861,2
289125034540204,Socialdemokraterna Sörmland,Sörmlands socialdemokratiska partidistrikt,860,3
242795945821731,Centerpartiet Lund,Landin Camilla Maria,858,2
144459582270252,UF Uppsala - The Association of Foreign Affairs,UF Uppsala - The Association of Foreign Affairs,854,1
100323819247251,Désirée Pethrus,Désirée Pethrus KD Sthlm,851,4
299789267022,ABF i Uppsala län,ABF i Uppsala län,849,4
374742579289874,Jämställd Utveckling Skåne,Jämställd Utveckling Skåne,840,1
1097619030278107,Moderaterna Lekeberg,Moderaterna Lekeberg,840,2
438293093025882,Livsmedelsarbetare för Solidaritet,Johan Torgå,839,3
764893650241446,Equal -För ett jämlikt Stockholm,Equal,837,2
1370664169670708,Sara Heelge Vikmång,Socialdemokraterna Huddinge,829,2
753404261386015,Kristdemokraterna i Alingsås,Kristdemokraterna i Alingsås,826,1
144395935966586,Generation Pep,These ads ran without a disclaimer,821,1
107104919328517,Miljöpartiet de Gröna i Sundbyberg,Miljöpartiet Sundbyberg,815,1
952465258108367,Sverigedemokraterna Älvkarleby,Sverigedemokraterna Älvkarleby,814,1
1440814509476229,Gagnefs kommun,Gagnefs kommun,808,4
594864470559908,Transammans,Bartholdsson Geetha Amalia,801,2
383192235102386,Studieförbundet Vuxenskolan Skåne,Christian Gustavsson,800,1
865138110262901,Svenskt Näringsliv Norrbotten,Svenskt Näringsliv,800,1
996917093703063,Svenskt Näringsliv Västerbotten,Svenskt Näringsliv,800,1
1383867568544212,Socialdemokraterna Falkenbergs kommun,Svensson Per Johan Klas,800,1
531065853590965,Olofströms Socialdemokratiska Arbetarekommun,Olofströms Socialdemokratiska Arbetarekommun,800,2
182366651852434,Svenskt Näringsliv Västernorrland,Svenskt Näringsliv,800,1
169070486439169,Västerås stadsmission,Västerås stadsmission,800,1
467356443693107,Marie Axelsson,Marie Axelsson,800,2
7783116506,Animals Asia,These ads ran without a disclaimer,798,7
1481800888803487,Liberalerna Hässleholm,Liberalerna i Hässleholm,797,1
239916586060802,Socialdemokraterna i Lerum,Socialdemokraterna i Lerum,796,1
118424491641760,Naturskyddsföreningen Väst,Naturskyddsföreningen Väst,794,4
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,793,3
145597762228825,Socialdemokraterna i Upplands Väsby,Suzanne Granqvist Enell,787,7
643137272398136,Sverige för UNHCR,These ads ran without a disclaimer,787,1
508562669167179,Socialdemokraterna i Arboga,Socialdemokraterna i Arboga,785,4
305349186301095,Liberalerna Skellefteå,Soldan Christina,781,4
273254886116655,Motargument,Motargument,780,1
964870226927385,Svensk biblioteksförening,Svensk biblioteksförening,774,2
84175912332,Drevvikenpartiet,Drevvikenpartiet,767,4
149349961750222,MagiCAD,These ads ran without a disclaimer,765,4
306583979393918,Fredens Hus,Fredens Hus,763,2
296911140356652,Kristdemokraterna Leksand,Kristdemokraterna Leksand,750,1
114033205273395,Svenska Burmakommittén,Svenska Burmakommittén,750,4
115358525182240,"Mattias Bernhardsson, Socialistiskt Alternativ",RS Haninge,739,3
102627866442123,Folkets Bio,These ads ran without a disclaimer,732,1
105755296132267,Miljöpartiet de Gröna Ekerö,Miljöpartiet de gröna Ekerö,731,2
120477444659925,Svensk Handel,Svensk Handel,723,1
433323816696224,Vänsterpartiet Jönköpings län,Vänsterpartiet Jönköpings län,721,1
102948117803991,Kungliga Slottsboden,These ads ran without a disclaimer,708,1
127535893942048,Folkhögskolorna,Folkhögskolorna,704,5
275956041421,Norrländska Socialdemokraten,Norr Media AB,702,1
1447309755322652,Bostad 2030,Bostad 2030,701,2
1729304067391998,Sverigedemokraterna Stockholm,These ads ran without a disclaimer,700,1
225975657531513,Moderaterna i Södertälje kommun,"Moderata Samlingspartiet, Södertäljekretsen",700,3
330627166973398,Strängnäsvänstern,Vänsterpartiet Strängnäs,700,2
951217261634608,Naturvårdsverket,Naturvårdsverket,697,3
269875318990,Bixia,These ads ran without a disclaimer,692,1
178392422290780,Gratis i skolan,Kunskapskraft & Media Sweden AB (KKM),690,1
514540192030141,Finnboda & Finnberget i Nacka,Konstantin Cosmin Irina,678,2
157164123601,Trafikverket,These ads ran without a disclaimer,678,1
160210550756111,Huddingemoderaterna,Huddingemoderaterna,677,6
259234574258392,Miljöpartiet de Gröna i Nyköping,Åslund Björn Carl Einar,660,3
108603445828840,Miljöpartiet de gröna i Linköping,Miljöpartiet i Linköping,657,3
125440780804852,Childhood,Childhood,656,1
108795227704477,ألوان أوروبا Alwan Europe,ألوان أوروبا Alwan Europe,652,23
142592279178601,RFSL Rådgivningen Skåne,RFSL Rådgivningen Skåne,652,2
523593237693284,Naturskyddsföreningen Borås,Johan Bertil Linderstad,650,2
91818886532,We Effect,We Effect,642,2
237658639705704,Socialistiskt Alternativ,Rättvisepartiet Socialisterna,641,2
278358342195608,Byggföretagen,Byggföretagen,640,1
236879092476,Håll Sverige Rent,These ads ran without a disclaimer,639,15
234842993227024,Socialdemokraterna i Nacka,Socialdemokraterna i Nacka,639,3
297005557164162,Lerums Tidning,These ads ran without a disclaimer,637,1
119616511446407,World's Children's Prize,World's Children's Prize,633,4
112588242095660,XTZ Sweden,These ads ran without a disclaimer,628,2
126190514395853,Ny Teknik Education,These ads ran without a disclaimer,626,1
112644953916525,Facklig Vänster,Vänsterpartiet,625,16
394687000597592,Barnombudet i Uppsala län - BOiU,Barnombudet i Uppsala län,624,5
691094151310311,Konung Gustaf V:s 90-årsfond,These ads ran without a disclaimer,618,1
117137568482377,Europa Direkt Södertälje,Europa Direkt Södertälje,614,1
1673788782717355,Helena Storckenfeldt,Helena B A Storckenfeldt,614,2
732887920091032,Vänsterpartiet Helsingborg,Vänsterpartiet Helsingborg,602,2
436023469767659,Centerpartiet i Norrtälje,Centerpartiet Norrtälje,600,3
161513867384504,Giving People,Giving People,600,1
322812748434,Biblioteken i Jönköping,KSMG - House of Employer Branding,600,1
644176508944888,Socialdemokraterna i Svalöv,Socialdemokraterna i Svalöv,600,1
633287503436897,Moderaterna i Jönköping,Moderaterna Jönköpings kommun,600,2
126125844249254,Socialdemokraterna i Katrineholm,Socialdemokraterna Katrineholm,600,1
435489349877161,Moderaterna i Östergötland,Moderaterna i Östergötland,600,2
241016942648370,Consensus,These ads ran without a disclaimer,600,1
1682793018671477,Socialdemokraterna i Kävlinge kommun,Kävlinge Arbetarekommun,599,1
60653824755,Socialdemokraterna i Sandviken,Socialdemokraterna i Sandviken,591,2
1230018870391467,Medborgerlig Samling Uppsala,Medborgerlig Samling Uppsala Län,584,10
157076904374898,ABF Stockholm,ABF Stockholm,570,1
309142249529258,Eduhouse AB,These ads ran without a disclaimer,565,1
1764178210476682,Vinovum,These ads ran without a disclaimer,563,2
182726910344,Hela Sverige Ska Leva,These ads ran without a disclaimer,554,4
584827858338308,Kristdemokraterna Staffanstorp,Kristdemokraterna Staffanstorp,550,2
219725641413066,Liberalerna Linköping,Liberalerna Linköping,550,2
112713752185288,Humaniora Umeå universitet,These ads ran without a disclaimer,548,1
62044983625,The Amazing Society,The Amazing Society,546,2
1522679411362377,Lighthouse - Swedish Maritime RD&I collaboration platform,Lars Nicklason,546,3
176736285678688,Proletären,Proletären,544,1
102949951398530,Gidås Hållbarhetsbyrå,These ads ran without a disclaimer,536,1
397232950335909,Strängnäspartiet,Strängnäspartiet,536,2
105172765831331,Vafa Sadat Farizani,Vafa Sadat Farizani,535,3
301589756551823,Miljöpartiet Klippan,Miljöpartiet de gröna i Klippan,533,3
129664437103456,Medicinska fakulteten vid Lunds universitet,Medicinska fakulteten vid Lunds universitet,528,2
108606768485583,Vuksan Rovčanin,Vuksan Rovcanin,528,4
113457495019535,Nätverket demonstrera mot Aurora 23,Nätverket demonstrera mot Aurora 23,523,2
154923374536050,LKAB,These ads ran without a disclaimer,522,2
287880713020478,Rörelsen,Peter Gustavsson,518,7
106459258633326,Vänsterpartiet Trelleborg,Vänsterpartiet Trelleborg,516,3
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,500,5
301626360787766,Genius Värmland,Region Värmland,500,2
529020987200690,Socialdemokraterna Mölndal,Socialdemokraterna Mölndal,500,1
281677578658057,Socialdemokraterna i Trollhättan,Cathrin Boström,500,1
164355807916,Moderaterna i Jönköpings Län,Moderaterna i Jönköpings län,500,1
154369674717313,Socialdemokraterna Blekinge,Heléne Björklund,500,1
468012489932468,Convini Sverige,These ads ran without a disclaimer,500,1
386485284783972,Socialdemokraterna i Enköping,Socialdemokraterna i Enköping,500,2
223999147762604,Miljöpartiet de gröna i Göteborg,Miljöpartiet de gröna i Göteborg,500,1
636674963068916,Vänsterpartiet Sundsvall,Vänsterpartiet Sundsvall,500,1
175195195896396,Socialdemokraterna Kalmar län,Socialdemokraterna i Kalmar län,500,1
604511589576144,Socialdemokraterna Bjuvs kommun,Socialdemokraterna i Bjuvs kommun,500,1
341429539282770,Moderaterna i Falköping,Anders Winlöf,500,1
377620908986237,Moderaterna Gävle,Moderaterna Gävle,500,1
1729304067391998,Sverigedemokraterna Stockholm,SD Stockholms stad,500,1
426118311094058,Socialdemokraterna Lidköping,Socialdemokraterna Lidköping,500,1
497604230440744,Sverigedemokraterna Skellefteåregionen,Sverigedemokraterna i Skellefteå,500,1
253851994766681,Socialdemokraterna i Surahammars kommun,Socialdemokraterna i Surahammars Kommun,500,1
767749640051136,Heléne Fritzon,Socialdemokraterna i Europaparlamentet,500,1
156384364406114,Skara kommun,Skara kommun,500,1
103835119648706,Socialdemokraterna i Emmaboda,Jarkko Pekkala,500,2
164401175915,Centerpartiet i Vallentuna kommun,Centerpartiet i Vallentuna kommun,500,1
105415855491585,Jaktkritikerna,These ads ran without a disclaimer,500,1
207929195897857,Socialdemokraterna i Vallentuna,Socialdemokraterna i Vallentuna,500,1
186258296859,Kommunistiska Partiet i Växjö,"Kommunistiska Partiet, Växjö",500,1
153194577050,Kristdemokraterna Solna,Kristdemokraterna i Solna,500,1
748918228510492,Sverigedemokraterna Halmstad,Sverigedemokraterna Halmstad,500,1
131482086868788,Kristdemokraterna i Linköping,Kristdemokraterna i Linköping,500,2
313423270889,Djurskyddet Sverige,Djurskyddet Sverige,499,1
102182565819797,Folktandvården Gävleborg AB,Folktandvården Gävleborg AB,498,1
66496453715,Miljöpartiet de gröna i Umeå,Miljöpartiet de gröna i Umeå,498,1
794309503933311,Socialistiskt Alternativ Luleå,Karl Jonas Brännberg,493,2
101881886539379,studentum.se,These ads ran without a disclaimer,491,2
100438786769457,Almi Uppsala,These ads ran without a disclaimer,491,2
115257524392599,Socialdemokraterna Vännäs,Socialdemokraterna i vännäs,487,2
887305194662637,Axess Magasin & TV,Axess Magasin & TV,484,1
760092737373457,Liberalerna Region Uppsala,Liberalerna Uppsala,483,3
207890945895422,Jordens Vänner / Friends of the Earth Sweden,Jordens Vänner / Friends of the Earth Sweden,479,4
822700561415767,BCG in Sweden,These ads ran without a disclaimer,475,5
209680479955838,Uppsala brandförsvar,Uppsala kommun,475,1
1408104366115145,Moderaterna i Salem,Moderaterna i Salem,474,2
1416393591927234,Semcon,Semcon,474,3
189597853158,Falu kommun,These ads ran without a disclaimer,473,1
1420420074890794,Moderaterna Sollentuna,Anastasia Frida Sofla,470,5
103312446472124,Socialdemokraterna i Mora,ANNA-CARIN NICE MATTSSON,466,3
108611372118633,Zeitgeist - Samtal. Kultur. Politik,These ads ran without a disclaimer,464,1
101093151787525,Projekt Malmporten,Luleå Hamn,456,1
1392761717630625,Bokförlaget Korpen,Bokförlaget Korpen,453,4
699729213440455,Vänsterpartiet Västra Götaland,Vänsterpartiet Västra Götalandsregionen,441,1
365420570144825,Försäkringskassan - Jobba hos oss,These ads ran without a disclaimer,437,1
188370061598809,Säters kommun,Säters kommun,437,1
636176223070965,Socialdemokraterna i Tingsryds kommun,Socialdemokraterna i Tingsryds kommun,432,4
106146814673420,Gotland Originals,These ads ran without a disclaimer,431,2
119668938047961,Moderaterna Falun,Rolf Eine Peter Sjölund,430,1
970101589721702,Josefin Malmqvist,Malmqvist Amanda Josefin Theresia,425,1
273249776157066,Vänsterpartiet Solna,Vänsterpartiet Solna,419,3
110218275686935,Vänsterpartiet Timrå,Vänsterpartiet Timrå,418,2
155999571265763,Centerpartiet i Solna,Centerpartiet i Solna,415,1
608975645850217,Vattenfall,These ads ran without a disclaimer,413,5
205367262946566,Centerpartiet Järfälla,Centerpartiet Järfälla,411,1
1397402443815562,Sverigedemokraterna Kungälv,Ingrid Victoria Dahlqvist,410,2
496283363842454,Sverigedemokraterna Vänersborg,Sverigedemokraterna Vänersborg,409,3
378029865703169,Liberalerna Uppsala kommun,Liberalerna Uppsala kommun,409,2
557378240957839,RFSU Jönköping,Ulrika Dane Rfsu,407,1
652543821483745,Öckerö kommun,These ads ran without a disclaimer,403,1
269627963520519,Cykla och gå i Stockholms stad,These ads ran without a disclaimer,400,1
116551365038257,Vänsterpartiet Borås,Stefan Lindborg,400,1
161698994242338,Zinkgruvan Mining AB,These ads ran without a disclaimer,400,1
270100047204233,Momentum Svédország,Momentum Svedorszag,400,2
139899811268,STIM,These ads ran without a disclaimer,398,1
303070626373544,Socialdemokraterna i Helsingborg,Socialdemokraterna Helsingborg,396,1
112221402200152,Granlund i Sverige,These ads ran without a disclaimer,396,1
182726910344,Hela Sverige Ska Leva,Hela Sverige Ska Leva,388,2
167036616661188,Sverigedemokraterna Malmö,These ads ran without a disclaimer,387,1
370074966371352,Varbergs Sparbank,Varbergs Sparbank,386,1
568673053231402,Kristdemokraterna i Hässleholm,Kristdemokraterna i Hässleholm,380,2
384934401632605,Rexel Sverige,These ads ran without a disclaimer,378,1
17775970938,Cancerfonden,Cancerfonden,373,8
568167776635166,Socialdemokraterna Mönsterås,Socialdemokraterna Mönsterås,370,1
105930654076304,TYA,These ads ran without a disclaimer,369,1
403554826503920,Vänskapsförbundet Sverige-Israel,Vänskapsförbundet Sverige-Israel,360,2
113257525466571,Friskolornas riksförbund,Friskolornas riksförbund,360,2
109673787954227,1000skis,These ads ran without a disclaimer,357,1
208417569188397,Centerpartiet i Hudiksvall,Centerpartiet i Hudiksvall,350,1
576490902395547,Vänsterpartiet Uddevalla,Vänsterpartiet Uddevalla,350,1
263226677166742,Socialdemokraterna i Västerviks Kommun,Västerviks socialdemokratiska arbetarekommun,348,1
301055809910083,Luleå Energi,Luleå Energi,344,1
513330082107760,Centerpartiet Gotland,Centerpartiet Gotland,343,2
794752210906027,Vy,These ads ran without a disclaimer,342,3
106424948513158,Riksorganisationen för fortbildning om Förintelsen,Riksorganisationen för fortbildning för förintelsen,336,4
1220981994590364,FT Partner Content,These ads ran without a disclaimer,335,11
110892917183024,Alleima,These ads ran without a disclaimer,334,8
536156530105433,Demokratibygget,Demokratibygget,330,3
807024736068341,Kristdemokraterna Sundbyberg,Kristdemokraterna Sundbyberg,327,2
250421669832,Tekniska verken,Tekniska verken,327,4
473313529459090,Vänsterpartiet Västernorrland,Ulrica Ödebygd,327,3
320930784643530,Storasyster,These ads ran without a disclaimer,327,1
183019125106776,Liberalerna Tyresö,Liberalerna Tyresö,324,1
245214805905370,Konkret,These ads ran without a disclaimer,324,5
12185972707,350.org,These ads ran without a disclaimer,322,1
513520638755798,Vänsterpartiet Ystad,Brante Goran,320,4
132237556790996,Socialistisk Politik,Socialistisk Politik,319,2
107889157547905,Nooshi Dadgostar,Vänsterpartiet,319,2
133834036641447,Ekonomibolaget,These ads ran without a disclaimer,314,1
270611249728504,Miljöpartiet de gröna Kävlinge,Miljöpartiet de gröna Kävlinge,313,3
66732884076,Farhang.nu,Farhang.nu,312,3
635025056686844,Liberalerna Landskrona,Liberalerna Landskrona,311,3
386694205083795,Liberalerna Nykvarn,Liberalerna Nykvarn,310,1
159410610774478,Socialdemokratiska Israelvänner - SIV,Socialdemokratiska Israelvänner,310,6
333290023467685,Socialdemokraterna Älvkarleby,Socialdemokraterna Älvkarleby,308,2
271744729517200,Socialdemokraterna Eslöv,Socialdemokraterna i Eslöv,304,2
175183894567,Liberalerna Nacka,Brohede Tellstrom Kerstin Monica M,300,2
1696828960384153,Moderaterna i Mellerud,Moderaterna i Mellerud,300,1
158606591214113,Landskrona Musik & Teater - en del av Riksteatern,These ads ran without a disclaimer,300,1
560378397406597,Socialdemokraterna i Skurup,Sylve Qvillberg,300,1
169961746503287,Lidingöpartiet - Grön skön ö.,Lidingöpartiet,300,1
177327255619338,Finspångs kommun,Finspångs kommun,300,1
1518274061818110,Liberalerna Askersund,Liberalerna Askersund,300,1
263337503697739,Moderaterna i Uppsala län,Carlsson Lars Johan,300,1
187832004591985,LO-distriktet i Småland och Blekinge,Patrik Långberg,300,1
1504070149885840,Socialdemokraterna i Krokoms kommun,Krokoms socialdemokratiska arbetarekommun,300,1
522529504506581,Socialdemokraterna i Mjölby,Socialdemokraterna i Mjölby,300,1
160691817220,Naturskyddsföreningen i Göteborg,Naturskyddsföreningen i Göteborg,300,1
1797724450537743,GoClimate,GoClimate,299,1
339278619472500,Fredrika Bremer-förbundet,These ads ran without a disclaimer,299,1
108216678020301,CGH & Jobbfrågan,Svensk Jobbdemokrati,299,1
1046128382080700,Vänsterpartiet Värmdö,Vänsterpartiet Värmdö,295,1
249195615122371,Sara Skyttedal,Sara Skyttedal,286,1
249901071699066,Bibblan svarar,These ads ran without a disclaimer,285,1
23426331389,Linköpings universitet,These ads ran without a disclaimer,283,1
290735261080438,Moderaterna i Göteborg,Moderaterna i Göteborg,281,2
223846164300912,Socialdemokrater för tro och solidaritet,These ads ran without a disclaimer,280,2
102224898933734,MindDig,These ads ran without a disclaimer,276,1
280367068667411,Centerpartiet Uppsala,Centerpartiet Uppsala,275,1
1193671840649194,Vänsterpartiet Lerum,Vänsterpartiet Lerum,275,2
105339482530122,Grow Sverige - ett friare liv,These ads ran without a disclaimer,275,1
121130347943687,Schroders,These ads ran without a disclaimer,271,2
238077549585894,Malmö Stadsarkiv,Malmö Stadsarkiv,268,2
1798175947119500,Epishine,Epishine,265,2
756304534399125,Timrå församling Svenska kyrkan,These ads ran without a disclaimer,265,1
633423966764086,Kungl Krigsvetenskapsakademien,KKrVA,265,3
104670729226245,HSB Norr,These ads ran without a disclaimer,265,1
323218466904,Kristdemokraterna i Lerum,Miriam Helena Lilja,261,3
78920968196,Västsvenska Handelskammaren,These ads ran without a disclaimer,261,1
522529504506581,Socialdemokraterna i Mjölby,Edith Anna Katarina Johansson,260,2
1506025182942351,Miljöpartiet de gröna i Malmö,Miljöpartiet i Malmö,257,2
606077262818825,Verbum AB,Hultcrantz Lindberg Karin Marianne,257,1
28312410177,World Food Programme,These ads ran without a disclaimer,256,6
1641629709208025,Moderaterna i Nybro,Bernhard Neuman,256,1
150897991607979,Riksförbundet Attention,Riksförbundet Attention,255,1
224009747651167,Socialdemokraterna i Örebro län,Socialdemokraterna i Örebro län,250,1
665682436792792,Moderaterna i Varberg,Moderaterna,250,2
1651611895071905,Agera Kvinnojour,Agera Kvinnojour,250,1
1423533084624587,Sverigedemokraterna Gotland,Sverigedemokraterna Gotland,250,1
220619268339132,Centerpartiet i Sundbyberg,Centerpartiet i Sundbyberg,250,1
103630702709718,Luleå Industripark,Vinter,244,1
105847354209034,Protect the Forest - Sweden,Skydda Skogen,243,1
200168212690,Svenska Spanienfrivilligas vänner,Svenska Spanienfrivilligas Vänner,243,4
1484959768492671,QTF Sweden AB,Hans Widell,242,2
737936546266980,Sverigedemokraterna Järfälla,Sverigedemokraterna Järfälla,240,1
366372087366,Hegas Förlag - Lättläst,These ads ran without a disclaimer,240,3
116237411724152,Latinamerikagrupperna / SAL,These ads ran without a disclaimer,237,1
115317275164993,RFSU,These ads ran without a disclaimer,236,3
245214805905370,Konkret,Opulens Förlag AB,233,2
509573205884493,LR Akridi - Revision & Redovisning,These ads ran without a disclaimer,231,2
70208617833,Miljöpartiet de Gröna i Västerbotten,Miljöpartiet de gröna,228,1
131265293559138,Bosch Sverige,These ads ran without a disclaimer,227,2
567921466650744,Ukrainska Institutet i Sverige,These ads ran without a disclaimer,225,2
108881742481938,Liberalerna i Karlstad,Liberalerna i Karlstad,222,3
436519773153070,Nordic Solar Sweden AB,These ads ran without a disclaimer,221,1
247675394299,Adecco Sverige,These ads ran without a disclaimer,219,1
175341561474,Norrtälje kommun,These ads ran without a disclaimer,218,1
102451921606529,Kommunistiska Partiet Ludvika,Mattias Lindwall,218,5
497068247081934,Näringslivets Regelnämnd NNR,Andrea Femrell,215,1
554289994689365,Female Leader Engineer,These ads ran without a disclaimer,214,1
467193996739598,Moderaterna i Strömsunds kommun,Carls Simon Elias Högberg,213,2
381175618637391,Liberalerna Kronoberg,Liberalerna,211,1
103048895938980,Västeråsmajoriteten,Västeråsmajoriteten,206,2
103672355843925,Sävja 4H-gård,These ads ran without a disclaimer,205,1
220006206664781,Ett Skurup för Alla,These ads ran without a disclaimer,201,1
105900158655325,emeliienorberg,These ads ran without a disclaimer,200,1
134203416648288,Socialdemokraterna i Sölvesborg,Socialdemokraterna i Sölvesborg,200,1
103195709344522,Anna Zelvin KD - Regionråd - Kronoberg,Anna Zelvin KD - Regionråd - Kronoberg,200,1
375308860220,Socialdemokraterna i Timrå,Socialdemokraterna i Timrå,200,1
1401558216532453,Kristdemokraterna Laholm,Nilsson Jorgen Christian,200,1
196279137437005,Kristdemokraterna Växjö,Kristdemokraterna Växjö,200,1
178404732312022,Hjärta till Hjärta,Hjärta till Hjärta,200,1
1757410027826711,Skaramoderaterna,Skaramoderaterna,200,1
482911408394700,Moderaterna Gislaveds kommun,Moderaterna i Gislaveds kommun,200,1
169488786434102,Moderaterna i Tyresö,Moderaterna i Tyresö,200,1
693181197442078,Sverigedemokraterna Åstorp,Peter Lindberg,200,1
100261020152077,Väsbymoderaterna,Väsbymoderaterna,200,1
288168764608020,Miljöpartiet de gröna i Gnesta,Miljöpartiet de Gröna i Gnesta,200,1
272185502945519,Socialdemokraterna Landskrona,Jonas Esbjörnsson,200,1
376804565780243,Vänsterpartiet Södermalm,Vänsterpartiet Södermalm,200,1
292556574856114,Socialdemokraterna i Arjeplog,Socialdemokraterna Arjeplog,200,1
474985855890443,Vänsterpartiet Farsta,Maria Helen Strandberg,200,1
1592860820974499,Vänsterpartiet Sundbyberg,Vänsterpartiet Sundbyberg,200,1
199453024965,Dalarna Science Park,Dalarna Science Park,200,1
143771795688415,Vänsterpartiet Ängelholm,Oscar Saul Funes Galindo,200,1
200168046680566,Unga Örnar Väst,Unga Örnar Väst Distrikt,200,1
109988009048564,Liberalerna Malmö,Liberalerna Malmö,200,1
421153308025981,Hållbarhetsfestivalen Västra Götaland,Hållbarhetsfestivalen Västra Götaland,199,2
115219002018409,Miljöpartiet de gröna i Växjö,Miljöpartiet de Gröna i Växjö,199,1
258169881053923,Sverigedemokraterna Åtvidaberg,Joakim Gustavsson,197,1
771462172882741,OnePath Network,These ads ran without a disclaimer,197,2
140222686868,MC-REJSER,These ads ran without a disclaimer,197,1
107469805261099,Miljöpartiet de Gröna i Nynäshamn,Miljöpartiet de Gröna Nynäshamn,196,1
334037884228,Mälarenergi AB,These ads ran without a disclaimer,194,3
269091226848903,Freepower,These ads ran without a disclaimer,193,1
173901972642378,Kristdemokraterna i Huddinge,Kristdemokraterna i Huddinge,193,4
162523667123095,Utvecklingsmagasinet,Föreningen för Utvecklingsfrågor,192,2
404435489761988,Örebro Stadsmission,These ads ran without a disclaimer,192,2
157878837643147,SSU Gotland,Fanny Maria Andersson,187,1
325336474611258,Centerpartiet Partille,Centerpartiet,187,1
250485248333218,Clean Air Task Force,These ads ran without a disclaimer,186,1
247075455733940,Tornet,These ads ran without a disclaimer,183,1
1468464336776875,Umeå Socialdemokratiska Tjänstemannaförening,Umeå Socialdemokratiska Tjänstemannaförening,182,1
293031380766852,Vänsterpartiet i EU,Vänsterpartiet i EU,181,3
417957948307359,Socialdemokraterna i Täby,Socialdemokraterna i Täby,180,2
108304136037279,Moderaterna i Kävlinge,Moderaterna i Kävlinge,180,1
2026492367623580,Kristdemokraterna Lomma Bjärred,Christer Philipson,180,1
636064916466764,Vänsterpartiet Kramfors,Vänsterpartiet Kramfors,180,1
1293728424047507,Vänsterpartiet i Falkenberg,Ake Emanuel Andersson,180,1
1494602434090797,Socialdemokraterna i Sotenäs,Therese Mancini,180,1
128274481480,ABF Skåne,ABF Skåne,180,1
129221687105793,RealStars,These ads ran without a disclaimer,180,1
258559677939181,Liberalerna i Arvika,Lars Anton Sjöstedt,179,1
447388898659311,Miljöpartiet Norrtälje kommun,Miljöpartiet i Norrtälje kommun,179,1
120540077612261,EU News,These ads ran without a disclaimer,178,2
189572334389303,Rustabo,These ads ran without a disclaimer,178,1
104293468972220,Peter Gustavsson Sverigedemokraterna Gislaved,Karl Peter Magnus Gustavsson,177,1
298201844237927,Riksföreningen Äldres Hälsa,These ads ran without a disclaimer,177,3
128436373901416,Sverigedemokraterna Haninge,Lindefjard Peter Christian,176,1
532394383485389,Positiva Pengar,These ads ran without a disclaimer,175,1
818329104869016,Athenas Sverige,These ads ran without a disclaimer,175,2
103425979164892,uturn.mobi,Anna Karin Ulrika Wilhelmsson,174,1
